target_id,identification,round,target,interface,p_id,p_type,p_rank,name,uid,model,e,nclash,threshold,fnat,fnonnat,f1,dockq,lrms,irms,srms,ia,dL,thetaL,nchain,(seqid//),fIR_L,fIR_R,fOP_L,fOP_R,mrms_L,mrms_R,classification,main_classification,stars,clashes,low_id,md5
T235.1,T235_P01.M33,56,235,1,P01,P,1,Brysbaert,660,33,0,31,66,0.2597,0.6866,0.2840,0.0990,43.7514,58.6043,54.6821,2239.2,11.95,28.71,0,(),0.5000,0.7879,0.4483,0.1333,41.0438,1.4159,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M34,56,235,1,P01,P,1,Brysbaert,660,34,0,42,66,0.3117,0.6154,0.3447,0.3479,7.5082,3.3150,3.7954,2005.0,1.32,25.00,0,(),0.6875,0.7879,0.1852,0.1333,0.7366,0.7464,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M35,56,235,1,P01,P,1,Brysbaert,660,35,0,27,66,0.2857,0.6102,0.3300,0.1072,44.5510,59.9195,56.0197,2159.3,10.71,18.42,0,(),0.6250,0.8182,0.3750,0.1818,42.8031,0.8508,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M36,56,235,1,P01,P,1,Brysbaert,660,36,0,38,66,0.4156,0.4762,0.4638,0.1555,37.2350,49.6055,46.1898,2338.8,11.53,24.06,0,(),0.6250,0.8788,0.3750,0.1471,34.6197,0.8640,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M37,56,235,1,P01,P,1,Brysbaert,660,37,0,23,66,0.0390,0.9464,0.0453,0.0218,52.4743,53.6999,50.7583,2102.3,13.52,161.18,0,(),0.5312,0.6970,0.4138,0.1481,36.7632,1.3988,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M38,56,235,1,P01,P,1,Brysbaert,660,38,0,56,66,0.4545,0.4627,0.4926,0.5258,4.6442,2.0339,2.6197,1925.0,1.36,14.69,0,(),0.7188,0.7879,0.1786,0.1333,0.7916,0.8213,medium,medium,2,0,0,(null)
T235.1,T235_P01.M39,56,235,1,P01,P,1,Brysbaert,660,39,0,19,66,0.0260,0.9643,0.0302,0.0173,53.0390,54.7431,51.4931,2057.4,13.45,160.17,0,(),0.5000,0.6970,0.4667,0.1481,37.5394,1.4227,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M40,56,235,1,P01,P,1,Brysbaert,660,40,0,15,66,0.3636,0.5915,0.3847,0.1356,40.5662,54.9798,51.4463,2337.0,11.62,18.78,0,(),0.5938,0.8788,0.4242,0.1212,38.4499,1.0233,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M41,56,235,1,P01,P,1,Brysbaert,660,41,0,29,66,0.3247,0.6119,0.3537,0.3546,7.5241,3.2227,3.7647,2015.8,1.72,24.73,0,(),0.7188,0.8182,0.2333,0.1000,0.7005,0.6832,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M42,56,235,1,P01,P,1,Brysbaert,660,42,0,22,66,0.2857,0.6290,0.3230,0.1077,43.7097,59.9200,57.0646,2134.3,11.41,18.01,0,(),0.5000,0.8182,0.4286,0.1290,41.8928,1.3818,incorrect,incorrect,0,0,0,(null)
