target_id,identification,round,target,interface,p_id,p_type,p_rank,name,uid,model,e,nclash,threshold,fnat,fnonnat,f1,dockq,lrms,irms,srms,ia,dL,thetaL,nchain,(seqid//),fIR_L,fIR_R,fOP_L,fOP_R,mrms_L,mrms_R,classification,main_classification,stars,clashes,low_id,md5
T187.1,T187_P12.M01,53,187,1,P12,P,12,Huang,268,1,1,526,126,0.0000,1.0000,0.0000,0.0042,81.7005,35.3410,38.1704,5846.4,47.29,109.80,0,(),0.0000,0.4930,1.0000,0.1026,7.9358,17.0299,incorrect,incorrect,0,1,0,(null)
T187.1,T187_P12.M02,53,187,1,P12,P,12,Huang,268,2,1,86,126,0.0000,1.0000,0.0000,0.0053,71.8723,33.0591,35.6578,3181.8,41.38,110.52,0,(),0.0000,0.4225,1.0000,0.1176,5.7494,17.0299,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P12.M03,53,187,1,P12,P,12,Huang,268,3,1,60,126,0.0000,1.0000,0.0000,0.0051,71.0095,46.6448,50.3161,3776.9,29.87,134.57,0,(),0.0000,0.3944,1.0000,0.2000,6.5911,17.0299,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P12.M04,53,187,1,P12,P,12,Huang,268,4,1,629,126,0.0000,1.0000,0.0000,0.0054,72.6204,29.2725,31.6351,5438.1,52.00,73.12,0,(),0.0153,0.4930,0.9744,0.1860,7.9342,12.7501,incorrect,incorrect,0,1,0,(null)
T187.1,T187_P12.M05,53,187,1,P12,P,12,Huang,268,5,1,32,126,0.0000,1.0000,0.0000,0.0058,66.3109,41.0876,44.4570,3233.3,11.04,164.96,0,(),0.0076,0.3803,0.9808,0.3077,5.7549,12.7501,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P13.M01,53,187,1,P13,P,13,HDOCK,445,1,1,629,126,0.0000,1.0000,0.0000,0.0054,72.6602,29.4253,31.7819,5438.1,51.96,73.12,0,(),0.0153,0.4930,0.9744,0.1860,7.9469,12.7501,incorrect,incorrect,0,1,0,(null)
T187.1,T187_P13.M02,53,187,1,P13,P,13,HDOCK,445,2,1,47,126,0.0000,1.0000,0.0000,0.0052,83.0157,20.7883,26.6091,2933.7,55.11,141.17,0,(),0.0229,0.3099,0.9483,0.3333,7.3966,12.7501,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P13.M03,53,187,1,P13,P,13,HDOCK,445,3,1,24,126,0.0000,1.0000,0.0000,0.0045,78.7576,34.5211,42.8382,2536.0,56.10,109.96,0,(),0.0076,0.3662,0.9792,0.0370,6.4828,12.7500,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P13.M04,53,187,1,P13,P,13,HDOCK,445,4,1,32,126,0.0000,1.0000,0.0000,0.0058,66.4997,41.1498,44.4864,3233.3,10.97,164.94,0,(),0.0076,0.3803,0.9808,0.3077,5.7533,12.7501,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P13.M05,53,187,1,P13,P,13,HDOCK,445,5,1,23,126,0.0000,1.0000,0.0000,0.0032,95.3581,35.5259,44.7939,2381.8,80.33,111.41,0,(),0.0000,0.3380,1.0000,0.0400,8.2619,12.7500,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P15.M01,53,187,1,P15,P,15,Zacharias,19,1,1,34,126,0.0000,1.0000,0.0000,0.0034,91.8046,36.8722,39.7335,6278.4,88.83,36.04,0,(),0.3893,0.3803,0.4950,0.4000,6.6301,12.7585,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P15.M02,53,187,1,P15,P,15,Zacharias,19,2,1,20,126,0.0000,1.0000,0.0000,0.0034,91.2893,36.6518,39.4897,5885.7,88.45,35.42,0,(),0.4046,0.3944,0.4904,0.3778,6.7228,12.8435,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P15.M03,53,187,1,P15,P,15,Zacharias,19,3,1,14,126,0.0000,1.0000,0.0000,0.0013,154.5708,48.7039,53.3107,3646.7,139.98,141.78,0,(),0.0000,0.1972,1.0000,0.3636,6.1118,12.8559,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P15.M04,53,187,1,P15,P,15,Zacharias,19,4,1,44,126,0.0000,1.0000,0.0000,0.0033,92.6616,37.3640,40.2253,6157.5,89.17,38.37,0,(),0.3740,0.3380,0.4896,0.4286,6.1873,12.9004,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P15.M05,53,187,1,P15,P,15,Zacharias,19,5,1,12,126,0.0000,1.0000,0.0000,0.0013,154.4430,48.6860,53.3035,3979.9,139.90,141.73,0,(),0.0000,0.1972,1.0000,0.3913,6.1183,12.8260,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P16.M01,53,187,1,P16,P,16,DelCarpio,8,1,1,86,126,0.0000,1.0000,0.0000,0.0048,78.0529,28.2565,27.5107,8156.7,36.05,133.17,0,(),0.2366,0.4789,0.7459,0.2766,46.7742,15.8874,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P16.M02,53,187,1,P16,P,16,DelCarpio,8,2,1,78,126,0.0000,1.0000,0.0000,0.0057,75.3382,22.3811,22.0754,8032.6,50.25,107.11,0,(),0.2672,0.5211,0.6875,0.3509,39.9888,15.6820,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P16.M03,53,187,1,P16,P,16,DelCarpio,8,3,1,60,126,0.0000,1.0000,0.0000,0.0050,76.8470,28.3824,27.8697,6044.3,51.50,105.89,0,(),0.2595,0.3803,0.5802,0.3415,41.3810,15.8890,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P16.M04,53,187,1,P16,P,16,DelCarpio,8,4,1,59,126,0.0000,1.0000,0.0000,0.0035,97.4102,28.1611,27.4203,4166.5,62.15,138.66,0,(),0.0076,0.3521,0.9848,0.1379,47.1601,18.4531,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P16.M05,53,187,1,P16,P,16,DelCarpio,8,5,1,60,126,0.0000,1.0000,0.0000,0.0050,76.8470,28.3824,27.8697,6044.3,51.50,105.89,0,(),0.2595,0.3803,0.5802,0.3415,41.3810,15.8890,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P17.M01,53,187,1,P17,P,17,Czaplewski,466,1,1,188,126,0.0090,0.9926,0.0079,0.0086,72.7056,25.6724,26.6270,7382.7,65.69,38.47,0,(),0.0763,0.4930,0.9029,0.3269,19.2906,16.1541,incorrect,incorrect,0,1,0,(null)
T187.1,T187_P17.M02,53,187,1,P17,P,17,Czaplewski,466,2,1,112,126,0.0000,1.0000,0.0000,0.0049,77.1526,28.4246,29.7027,5717.2,68.58,46.13,0,(),0.0992,0.4366,0.8395,0.3261,18.0430,15.9978,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P17.M03,53,187,1,P17,P,17,Czaplewski,466,3,1,251,126,0.0180,0.9878,0.0144,0.0125,66.4343,25.8343,27.0658,8202.0,59.23,37.98,0,(),0.1221,0.4930,0.8571,0.3000,16.6287,14.4204,incorrect,incorrect,0,1,0,(null)
T187.1,T187_P17.M04,53,187,1,P17,P,17,Czaplewski,466,4,1,187,126,0.0045,0.9962,0.0044,0.0054,89.8089,31.9290,33.2975,6083.5,70.22,135.59,0,(),0.1145,0.3521,0.8454,0.3421,23.5710,13.3697,incorrect,incorrect,0,1,0,(null)
T187.1,T187_P17.M05,53,187,1,P17,P,17,Czaplewski,466,5,1,332,126,0.0270,0.9848,0.0193,0.0132,83.7408,31.1852,32.6656,9461.3,62.71,149.51,0,(),0.1756,0.5211,0.8321,0.3729,24.9045,14.3983,incorrect,incorrect,0,1,0,(null)
T187.1,T187_P18.M01,53,187,1,P18,P,18,SWARMDOCK,247,1,1,3,126,0.0000,1.0000,0.0000,0.0041,89.0781,25.9526,30.0566,638.1,40.86,161.56,0,(),0.0000,0.1408,1.0000,0.0000,35.2104,13.2142,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P18.M02,53,187,1,P18,P,18,SWARMDOCK,247,2,1,3,126,0.0000,1.0000,0.0000,0.0041,89.0844,25.9526,30.0566,638.1,40.85,161.48,0,(),0.0000,0.1408,1.0000,0.0000,35.2062,13.2142,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P18.M03,53,187,1,P18,P,18,SWARMDOCK,247,3,1,3,126,0.0000,1.0000,0.0000,0.0041,89.0850,25.9526,30.0566,638.1,40.87,161.46,0,(),0.0000,0.1408,1.0000,0.0000,35.2146,13.2142,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P18.M04,53,187,1,P18,P,18,SWARMDOCK,247,4,1,3,126,0.0000,1.0000,0.0000,0.0041,89.0543,25.9526,30.0566,638.1,40.82,161.54,0,(),0.0000,0.1408,1.0000,0.0000,35.2214,13.2142,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P18.M05,53,187,1,P18,P,18,SWARMDOCK,247,5,1,3,126,0.0000,1.0000,0.0000,0.0041,89.0970,25.9526,30.0566,638.1,40.85,161.58,0,(),0.0000,0.1408,1.0000,0.0000,35.2073,13.2142,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P19.M01,53,187,1,P19,P,19,Bates,1,1,1,10,126,0.0000,1.0000,0.0000,0.0050,88.4952,19.4545,24.6126,2807.0,51.20,116.42,0,(),0.0153,0.4648,0.9677,0.1538,5.6178,13.2236,incorrect,incorrect,0,0,0,(null)
